What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
25-29,Male,India,Master’s degree,Data Scientist,Large,3-4,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999","$1000-$9,999",Other,3-5 years,Python,Never,2-3 years
30-34,Male,India,Bachelor’s degree,Software Engineer,Mid-Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$1-$99,Cloud-based data software & APIs,1-2 years,Python,Used TPU,1-2 years
18-21,Female,Nigeria,Bachelor’s degree,Data Scientist,Small,1-2,No (we do not use ML methods),"2,000-2,999",$0 (USD),Basic statistical software,3-5 years,Python,Never,< 1 years
30-34,Male,Canada,Bachelor’s degree,Software Engineer,Enterprise,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","$10,000-$99,999",Cloud-based data software & APIs,10-20 years,Python,Never,2-3 years
25-29,Female,India,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",$0 (USD),Business intelligence software,3-5 years,Python,Never,2-3 years
25-29,Male,Netherlands,Bachelor’s degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,4-5 years
35-39,Male,India,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$100-$999,Local development environments,10-20 years,R,Never,5-10 years
40-44,Male,Japan,Doctoral degree,Research Scientist,Large,20+,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",$100-$999,Local development environments,5-10 years,R,Never,5-10 years
25-29,Male,Spain,Master’s degree,Data Scientist,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Local development environments,3-5 years,Python,Never,2-3 years
45-49,Male,United States of America,Master’s degree,Other,Small,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,3-4 years
30-34,Male,South Africa,Master’s degree,Software Engineer,Mid-Large,3-4,No (we do not use ML methods),"60,000-69,999",$100-$999,Local development environments,5-10 years,Python,Used TPU,5-10 years
60-69,Male,United States of America,Doctoral degree,Other,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","$1000-$9,999",Basic statistical software,1-2 years,Python,Never,1-2 years
30-34,Male,Thailand,Master’s degree,Data Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","$10,000-$99,999",Local development environments,3-5 years,Python,Used TPU,3-4 years
30-34,Male,Taiwan,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",$100-$999,Cloud-based data software & APIs,5-10 years,Python,Never,5-10 years
25-29,Male,Netherlands,Doctoral degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",$0 (USD),Local development environments,5-10 years,Python,Used TPU,5-10 years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999","> $100,000 ($USD)",Cloud-based data software & APIs,10-20 years,Other,Used TPU,4-5 years
30-34,Male,India,Bachelor’s degree,DBA/Database Engineer,Enterprise,1-2,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",$0 (USD),Basic statistical software,< 1 years,Python,Never,< 1 years
35-39,Male,South Korea,Master’s degree,Data Scientist,Large,15-19,We use ML methods for generating insights (but do not put working models into production),"4,000-4,999",$1-$99,Other,5-10 years,Other,Never,5-10 years
45-49,Male,Turkey,Doctoral degree,Research Scientist,Large,10-14,No (we do not use ML methods),"50,000-59,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,5-10 years
45-49,Male,United States of America,Master’s degree,Research Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,10-15 years
40-44,Male,Indonesia,Bachelor’s degree,Other,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","$10,000-$99,999",Local development environments,20+ years,Python,Never,5-10 years
22-24,Male,France,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
45-49,Male,United States of America,Master’s degree,Other,Large,1-2,We are exploring ML methods (and may one day put a model into production),"200,000-249,999",$100-$999,Business intelligence software,3-5 years,Python,Never,4-5 years
22-24,Female,India,Master’s degree,Other,Enterprise,20+,I do not know,$0-999,$0 (USD),Basic statistical software,< 1 years,Python,Never,< 1 years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,Enterprise,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","$10,000-$99,999",Local development environments,10-20 years,Python,Used TPU,5-10 years
35-39,Male,Japan,Master’s degree,Data Scientist,Enterprise,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499","$1000-$9,999",Local development environments,3-5 years,R,Never,3-4 years
50-54,Male,Italy,Master’s degree,Software Engineer,Medium,1-2,No (we do not use ML methods),"40,000-49,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,Switzerland,Doctoral degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","$10,000-$99,999",Local development environments,5-10 years,Python,Never,4-5 years
22-24,Male,India,Bachelor’s degree,Software Engineer,Small,1-2,No (we do not use ML methods),"4,000-4,999",$1-$99,Basic statistical software,1-2 years,Python,Never,< 1 years
22-24,Male,United States of America,Master’s degree,Data Scientist,Mid-Large,3-4,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999","$10,000-$99,999",Local development environments,1-2 years,Python,Never,1-2 years
60-69,Male,United States of America,Master’s degree,Other,Medium,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","> $100,000 ($USD)",Local development environments,1-2 years,Python,Never,2-3 years
30-34,Male,India,Doctoral degree,Data Analyst,Large,3-4,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$1-$99,Other,3-5 years,Python,Used TPU,2-3 years
25-29,Male,Mexico,Master’s degree,Data Scientist,Medium,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
30-34,Male,Other,Master’s degree,Data Scientist,Medium,1-2,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",$0 (USD),Local development environments,3-5 years,R,Never,1-2 years
35-39,Male,Other,Doctoral degree,Data Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","> $100,000 ($USD)",Other,10-20 years,Python,Never,10-15 years
30-34,Male,South Africa,Professional degree,Product/Project Manager,Large,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$10,000-$99,999",Advanced statistical software,10-20 years,Python,Never,2-3 years
50-54,Male,Brazil,Master’s degree,Statistician,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",$0 (USD),Local development environments,20+ years,R,Never,20+ years
22-24,Female,Pakistan,Master’s degree,Research Scientist,Small,0,I do not know,$0-999,$0 (USD),Local development environments,1-2 years,Python,Never,3-4 years
35-39,Male,Portugal,Master’s degree,Other,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",$1-$99,Business intelligence software,5-10 years,Python,Never,2-3 years
30-34,Male,Germany,Doctoral degree,Data Scientist,Mid-Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","$1000-$9,999",Cloud-based data software & APIs,5-10 years,Python,Never,2-3 years
25-29,Male,United States of America,Master’s degree,Statistician,Large,0,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",$0 (USD),Local development environments,5-10 years,Python,Never,2-3 years
60-69,Male,United States of America,Bachelor’s degree,Software Engineer,Small,0,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",$0 (USD),Basic statistical software,5-10 years,Other,Never,< 1 years
25-29,Male,Brazil,Bachelor’s degree,Product/Project Manager,Small,1-2,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$100-$999,Local development environments,< 1 years,Other,Never,< 1 years
50-54,Male,Italy,Some college/university study without earning a bachelor’s degree,Software Engineer,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$1000-$9,999",Business intelligence software,20+ years,R,Never,< 1 years
35-39,Male,Netherlands,Doctoral degree,Data Scientist,Enterprise,5-9,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",$0 (USD),Local development environments,5-10 years,R,Never,1-2 years
25-29,Male,Taiwan,Master’s degree,Software Engineer,Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",$100-$999,Local development environments,1-2 years,Other,Never,< 1 years
25-29,Female,India,Master’s degree,Data Analyst,Mid-Large,10-14,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$1-$99,Basic statistical software,< 1 years,SQL,Never,< 1 years
35-39,Male,Ukraine,I prefer not to answer,Software Engineer,Small,1-2,No (we do not use ML methods),"20,000-24,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
18-21,Female,Russia,Bachelor’s degree,Data Analyst,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",$1-$99,Business intelligence software,1-2 years,Python,Never,1-2 years
25-29,Male,Thailand,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,1-2 years
